Year,W,L,MIN,Dist. Miles,Dist. Feet,Avg Speed,Feet/Min
2013-14 ,1226.0,1226.0,593280.0,41398.3,218583468.0,14.33,368.43222
2014-15 ,1227.0,1227.0,593760.0,41291.3,218017296.0,14.38,367.18084
2015-16 ,1228.0,1228.0,593840.0,41705.6,220204853.0,14.24,370.81512
2016-17 ,1226.0,1226.0,592480.0,41641.9,219868915.0,14.23,371.0993
2017-18 ,1224.0,1224.0,590970.0,42208.1,222857619.0,14.0,377.10479
2018-19 ,1226.0,1226.0,592530.0,44540.1,235172017.0,13.3,396.8947
2019-20 ,1053.0,1053.0,509090.0,37838.6,199788650.0,13.45,392.44269
2020-21 ,1080.0,1080.0,521500.0,38758.9,204645458.0,13.45,392.41699
2021-22 ,1225.0,1225.0,591350.0,43673.0,230593630.0,13.54,389.94442
2022-23 ,1226.0,1226.0,592928.0,43990.9,232271629.0,13.48,391.73665
2023-24 ,1220.0,1220.0,588900.0,44406.8,234468140.0,13.26,398.14593
2024-25 ,1106.0,1106.0,533579.0,40563.9,214177522.0,13.15,401.39796
